subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,0.944444444,0.950920245,0.938271605,0.981132075,1,0.942857143,0.944444444,0.945945946
2,1,0.87037037,0.950617284,0.944444444,0.907407407,0.972222222,0.972222222,0.971428571,0.891891892
3,1,0.962962963,0.950920245,0.944099379,1,0.888888889,0.914285714,0.918918919,0.861111111
4,1,0.962962963,0.932515337,0.919254658,0.907407407,0.944444444,0.942857143,0.944444444,0.972972973
5,1,0.641509434,0.697530864,0.827160494,0.890909091,0.722222222,0.675675676,0.833333333,0.942857143
6,1,0.872727273,0.87654321,0.906832298,0.740740741,0.888888889,0.916666667,0.805555556,0.833333333
7,1,0.888888889,0.807453416,0.839506173,0.527272727,0.916666667,0.864864865,0.777777778,0.828571429
8,1,0.962962963,0.98136646,0.962962963,0.981818182,0.944444444,0.972222222,0.972222222,0.944444444
9,1,0.944444444,0.913580247,0.968944099,0.890909091,0.837837838,0.944444444,0.916666667,0.885714286
10,1,0.962962963,0.944099379,0.851851852,0.909090909,0.916666667,0.972222222,0.891891892,0.971428571
11,1,0.981481481,0.975308642,0.97515528,1,0.972222222,0.918918919,0.972222222,0.942857143
12,1,0.945454545,0.981481481,0.950310559,0.87037037,0.944444444,0.888888889,0.972222222,1
13,1,0.890909091,0.919254658,0.901234568,0.925925926,0.861111111,0.888888889,1,0.888888889
14,1,0.888888889,0.87037037,0.895705521,0.924528302,0.864864865,0.916666667,0.914285714,0.944444444
15,1,1,1,0.97515528,1,0.972222222,0.972972973,0.972222222,0.971428571
16,1,0.945454545,0.932098765,0.950310559,0.981481481,0.861111111,1,0.944444444,0.888888889
17,1,0.944444444,0.852760736,0.87037037,0.849056604,0.944444444,0.885714286,0.810810811,0.916666667
18,1,0.944444444,0.913043478,0.938650307,0.944444444,0.944444444,1,0.944444444,0.888888889
19,1,0.851851852,0.840490798,0.907407407,0.943396226,0.888888889,0.857142857,0.918918919,0.888888889
20,1,0.698113208,0.802469136,0.771604938,0.781818182,0.916666667,0.891891892,0.833333333,0.771428571
21,1,0.981481481,1,0.99382716,1,0.972222222,0.944444444,1,0.972222222
22,1,0.981818182,0.925925926,0.97515528,0.944444444,0.944444444,0.972222222,0.972222222,1
23,1,0.944444444,0.937888199,0.962962963,0.909090909,1,0.944444444,0.945945946,0.971428571
24,1,1,1,0.98757764,0.962962963,0.942857143,1,0.972972973,1
25,1,0.666666667,0.607361963,0.857142857,0.703703704,0.833333333,0.861111111,0.916666667,0.944444444
26,1,0.963636364,0.919753086,0.956521739,0.888888889,0.914285714,0.972222222,0.972222222,0.891891892
27,1,0.981481481,0.950617284,0.968944099,0.981818182,0.945945946,0.944444444,1,0.971428571
28,1,0.962962963,0.975308642,0.975308642,0.925925926,0.972972973,1,1,0.944444444
29,1,0.907407407,0.790123457,0.888888889,0.685185185,0.72972973,0.888888889,0.916666667,0.771428571
30,1,0.981481481,0.956790123,0.938271605,0.962962963,1,0.944444444,0.944444444,1
31,2,0.905660377,0.913580247,0.895705521,0.851851852,0.72972973,0.611111111,0.714285714,0.666666667
32,2,0.962962963,0.944785276,0.950310559,0.87037037,0.944444444,0.916666667,1,0.972222222
33,2,0.759259259,0.695652174,0.709876543,0.654545455,0.722222222,0.722222222,0.722222222,0.805555556
34,2,0.962962963,0.99378882,0.932515337,0.944444444,0.945945946,0.916666667,0.942857143,0.972222222
35,2,0.62962963,0.652173913,0.73006135,0.666666667,0.666666667,0.694444444,0.857142857,0.783783784
36,2,0.907407407,0.932098765,0.931677019,0.981818182,1,0.944444444,0.916666667,0.888888889
37,2,1,0.975308642,0.981481481,0.981481481,0.945945946,1,1,0.971428571
38,2,0.759259259,0.808641975,0.889570552,0.773584906,0.864864865,0.972222222,0.914285714,0.972222222
39,2,0.981481481,0.969135802,0.981481481,0.888888889,0.944444444,0.945945946,0.944444444,0.971428571
40,2,0.814814815,0.826086957,0.834355828,0.814814815,0.777777778,0.702702703,0.857142857,0.888888889
41,2,0.944444444,0.882716049,0.907407407,0.814814815,0.916666667,0.810810811,0.861111111,0.8
42,2,0.981481481,0.895061728,0.98136646,0.8,0.972222222,0.918918919,1,1
43,2,0.709090909,0.74691358,0.763975155,0.685185185,0.914285714,0.675675676,0.833333333,0.888888889
44,2,0.777777778,0.863354037,0.834355828,0.759259259,0.916666667,1,0.972222222,0.888888889
45,2,1,0.900621118,0.913580247,0.777777778,0.828571429,0.861111111,0.722222222,0.864864865
46,2,0.888888889,0.98136646,0.950920245,0.925925926,0.972222222,1,0.971428571,0.918918919
47,2,1,0.981481481,0.98136646,0.981818182,0.944444444,0.972222222,0.972222222,0.972222222
48,2,0.944444444,0.956790123,0.938271605,0.981481481,0.972222222,0.916666667,0.942857143,0.864864865
49,2,0.890909091,0.931677019,0.981481481,0.851851852,0.944444444,0.916666667,0.888888889,0.861111111
50,2,0.945454545,0.845679012,0.858024691,0.886792453,0.885714286,0.916666667,0.891891892,0.916666667
51,2,0.759259259,0.697530864,0.709876543,0.703703704,0.916666667,0.942857143,0.972972973,0.944444444
52,2,0.962962963,0.857142857,0.87037037,0.890909091,0.916666667,0.833333333,0.972222222,0.861111111
53,2,0.927272727,0.937888199,0.925925926,0.944444444,0.971428571,1,0.972222222,0.945945946
54,2,0.888888889,0.87654321,0.906832298,0.927272727,0.916666667,0.837837838,0.944444444,0.942857143
55,2,0.981481481,0.956521739,0.926380368,0.87037037,0.972222222,0.918918919,0.914285714,0.944444444
56,2,1,0.987730061,0.962732919,0.962962963,1,1,0.972222222,0.972972973
57,2,0.963636364,0.962732919,0.950617284,0.833333333,0.942857143,0.916666667,0.972972973,0.888888889
58,2,0.962962963,0.950617284,0.981595092,1,1,0.944444444,0.971428571,0.918918919
59,2,0.907407407,0.883435583,0.813664596,0.796296296,0.702702703,0.485714286,0.638888889,0.333333333
60,2,0.833333333,0.844720497,0.851851852,0.763636364,0.648648649,0.833333333,0.833333333,0.857142857
