subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,0.944444444,0.98136646,0.975308642,0.927272727,1,1,0.945945946,0.885714286
2,1,0.945454545,0.950310559,0.969135802,1,0.971428571,1,0.918918919,0.944444444
3,1,0.962962963,0.938271605,0.938271605,0.981481481,1,0.918918919,1,0.944444444
4,1,0.927272727,0.944099379,0.956790123,0.944444444,0.914285714,0.972222222,0.861111111,0.891891892
5,1,1,0.962732919,0.962962963,0.962962963,0.944444444,0.972222222,1,1
6,1,0.962962963,0.98757764,0.987654321,1,1,0.972222222,0.972972973,0.971428571
7,1,0.927272727,0.925925926,0.919254658,0.87037037,0.942857143,0.916666667,0.864864865,1
8,1,0.833333333,0.771604938,0.777777778,0.87037037,0.472222222,0.594594595,0.6,0.472222222
9,1,0.981481481,0.900621118,0.907407407,0.854545455,0.944444444,0.945945946,0.916666667,0.885714286
10,1,0.945454545,0.956521739,0.975308642,0.925925926,0.971428571,1,0.972222222,0.945945946
11,1,1,0.981595092,0.968944099,1,1,1,1,0.945945946
12,1,0.981481481,0.962962963,0.944444444,0.907407407,0.916666667,0.942857143,0.972222222,0.891891892
13,1,1,0.963190184,0.97515528,1,1,0.944444444,1,0.972222222
14,1,0.925925926,0.906832298,0.925925926,0.836363636,0.972222222,0.861111111,0.891891892,0.942857143
15,1,0.945454545,0.944099379,0.919753086,0.907407407,1,0.972222222,0.972222222,0.864864865
16,1,1,0.962962963,0.987654321,0.945454545,0.972222222,0.945945946,1,0.914285714
17,1,0.962962963,0.845679012,0.895061728,0.87037037,0.885714286,0.864864865,0.916666667,0.944444444
18,1,0.981481481,0.969135802,0.937888199,0.890909091,0.972222222,0.972222222,0.888888889,0.972222222
19,1,0.759259259,0.757763975,0.734567901,0.709090909,0.861111111,0.861111111,0.945945946,0.8
20,1,1,1,0.98757764,0.981818182,0.972222222,1,0.945945946,1
21,1,0.962962963,0.950310559,0.956790123,0.872727273,1,1,1,0.944444444
22,1,1,0.99382716,0.987730061,0.981132075,1,1,0.972222222,0.972222222
23,1,0.907407407,0.901840491,0.937888199,0.833333333,0.972222222,0.888888889,0.972222222,0.972222222
24,1,0.62962963,0.685185185,0.654320988,0.62962963,0.944444444,0.891891892,0.914285714,0.972222222
25,1,0.944444444,0.932098765,0.913580247,0.87037037,0.945945946,0.971428571,0.916666667,0.861111111
26,1,0.925925926,0.864197531,0.932098765,0.907407407,1,0.942857143,1,0.891891892
27,1,0.909090909,0.907407407,0.894409938,0.888888889,0.942857143,0.944444444,0.810810811,0.916666667
28,1,0.962962963,0.962962963,0.925925926,0.944444444,0.944444444,0.944444444,0.972222222,0.944444444
29,1,1,0.975460123,0.97515528,1,0.972222222,1,1,0.972972973
30,1,0.924528302,0.950617284,0.913580247,0.909090909,1,0.944444444,0.916666667,0.972222222
31,1,0.909090909,0.913580247,0.962732919,0.888888889,0.914285714,0.916666667,0.891891892,0.972222222
32,1,0.907407407,0.925465839,0.925925926,0.8,0.945945946,1,0.972222222,1
33,1,0.925925926,0.864197531,0.932098765,0.907407407,0.942857143,1,0.945945946,0.833333333
34,1,0.962962963,0.801242236,0.858895706,0.833333333,0.833333333,0.594594595,0.742857143,0.888888889
35,1,1,0.987654321,0.963190184,1,1,1,0.972222222,1
36,1,0.925925926,0.97515528,0.938650307,0.925925926,0.972222222,0.972222222,1,0.918918919
37,1,1,0.98136646,0.99382716,0.981818182,0.945945946,0.944444444,0.972222222,1
38,1,0.981132075,0.882716049,0.932515337,0.944444444,0.972222222,0.918918919,0.971428571,0.916666667
39,1,1,0.919254658,0.957055215,0.925925926,0.972222222,0.864864865,1,0.972222222
40,1,0.909090909,0.932098765,0.969135802,0.943396226,0.971428571,0.972222222,0.972222222,0.945945946
41,1,1,0.981481481,1,1,1,1,0.972972973,1
42,1,0.962962963,0.913580247,0.981481481,0.611111111,1,0.888888889,0.971428571,0.945945946
43,1,0.888888889,0.957055215,0.968944099,0.981481481,1,0.916666667,1,0.944444444
44,1,0.981818182,0.962732919,0.919753086,0.962962963,0.942857143,0.972222222,1,0.972972973
45,1,0.944444444,0.881987578,0.950617284,0.890909091,0.944444444,0.944444444,0.972972973,0.885714286
