subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,656.5951557,631.4324895,615.183172,637.437524,589.5555556,612.8,598.7355102,668.3506764
2,1,656.989645,656.2397661,632.522293,643.8518519,604.4463668,597.1111111,651.7569204,613.8373702
3,1,653.7315089,694.1365242,666.9753734,634.254895,587.3055556,657.0380623,585.6285714,640.4948097
4,1,590.5997693,608.7362155,582.2046083,610.1937716,589.7363281,599.8334694,625.8954394,608.8181818
5,1,638,674.5103656,652.600866,667.1316568,651.8382353,663.8693878,600.0277778,614.8
6,1,597.8742604,607.6059647,600.0989516,600.8727273,577.4444444,611.8789916,582.7785494,571.1418685
7,1,697.4279123,734.4995745,728.8513514,758.372803,679.8826979,680.231405,747.1302083,642.1428571
8,1,941.7,997.3863529,941.625,870.6002716,1584.423529,1214.366162,1173.166667,1507.623529
9,1,580.6585974,627.8572944,645.7493533,697.6459937,607.6089965,583.6032653,606.3409091,618.7096774
10,1,579.8227753,590.7800488,570.1884034,620.352,567.5389273,586.8055556,540.1512605,564.5746939
11,1,671.037037,668.9416802,644.0410087,621.3888889,694.1666667,663.9117647,640.8333333,707.3246753
12,1,596.6721253,643.6958502,663.4717887,686.908788,654.0340909,643.7878788,644.5322449,681.3232323
13,1,567.3703704,618.9888116,586.4023355,586.9814815,569,614.5224913,568.1714286,610.56
14,1,585.9,656.8013699,620.9559184,723.9673913,586.6971429,689.2445369,720.2035985,720.78125
15,1,663.7426036,706.6735589,722.8204356,708.4098292,617.5428571,637.9714286,631.6310204,750.1364583
16,1,578.5660377,616.2853846,571.104,626.9471154,567.892437,625.4761905,579.4444444,614.9951172
17,1,755.6405325,836.7850033,801.6128218,852.7795383,810.062435,833.1865234,788.9659091,780.513369
18,1,631.6404414,650.2188085,682.6708838,703.6380675,664.8685714,645.1260504,706.9921875,657.412987
19,1,1145.307555,1158.22497,1183.772667,1216.761999,1018.489074,1013.768991,895.2187755,1036.696429
20,1,610.9259259,633.8819876,611.0022523,654.4924554,634.6285714,621.1944444,635.5844898,649.1142857
21,1,622.5882353,629.1892312,649.5112467,756.1783854,583.3888889,554.1944444,604.7714286,628.6764706
22,1,563.1111111,564.7376478,566.2923211,572.2784763,543,564.3142857,581.4151261,561.8722689
23,1,741.2011662,741.8241907,717.5403248,810.16,652.9665306,741.3046875,692.2909091,718.9714286
24,1,952.4740484,830.820729,900.0499445,958.3511029,632.3044983,665.7621671,645.9619141,618.7462185
25,1,631.7439446,646.1442635,687.8842905,776.0452694,612.1478992,593.0925606,633.0681818,733.8605619
26,1,768.8277551,841.2177019,785.2794887,796.1907539,702.8333333,744.1597796,734.6944444,797.8613407
27,1,495.572,497.3517911,523.6652778,570.6328125,496.7493113,469.0588235,578.8033333,508.0117302
28,1,596.9356509,593.9721218,672.8102069,679.1626298,598.4278075,630.4359862,625.1596639,647.7508651
29,1,582,609.0403706,604.4755422,595.5,580.5194805,572.0571429,584.0571429,604.597619
30,1,618.1420242,602.1779733,646.6504998,666.908,590.9722222,606.2387543,637.9504132,635.4756303
31,1,664.224,692.6394176,655.307296,717.234375,676.5185547,685.0247934,690.1570248,657.1395918
32,1,676.0233236,657.2402777,689.7197203,818.3522727,664.9126531,637.0571429,643.8545455,627.3142857
33,1,717.7032,799.1432773,706.9619205,793.2219908,683.2231405,670.6111111,698.9268908,825.1862069
34,1,726.7233728,862.4813078,775.051501,789.7066667,798.04,1162.056277,861.9153846,731.3203125
35,1,515.462963,543.8834416,541.3663037,553.3396226,526.2222222,534.0857143,537.4432653,537.9722222
36,1,676.7775,631.8332032,700.9245852,705.7584,611.0889796,616.084898,625.2857143,700.8235294
37,1,647.7962963,670.8648252,695.2069856,749.0826475,637.6553571,667.7128028,668.8946939,682.1714286
38,1,570.6892911,661.4194776,656.740608,678.8512111,560.8436975,580.35918,610.7843137,649.3295455
39,1,665.0555556,713.2331081,673.8671862,723.7512,656.0522449,735.9717742,649.9142857,664.5159184
40,1,693.792,656.5302644,653.4443513,689.6148,579.316609,606.1518367,608.8261224,657.2008403
41,1,607.6545455,622.9980397,617.1045752,619.2222222,586.2571429,579.1666667,604.9899691,590.8611111
42,1,654.3733032,699.3217366,636.3312086,1134.971591,597.4722222,665.4023438,620.3114187,681.3907563
43,1,715.4765625,690.169377,646.6177195,641.2908508,651.4166667,717.7520661,652.7777778,665.5951557
44,1,657.6800412,682.153911,707.2513354,713.2633136,676.2167126,696.4033613,651.3714286,681.0936508
45,1,649.9515571,716.3534168,639.7446461,686.6867972,676.3235294,686.3979239,630.0848765,661.9771072
46,1,722.9612661,671.0730356,702.3701199,759.2100694,619.2605042,649.3655462,645.3333333,729.3548387
47,1,607.7196746,639.6141176,587.5010753,730.2830579,550.1681633,552.6453782,543.0294118,611.4135802
48,1,646.2698469,733.1897602,657.0576068,897.0306122,650.2040816,689.040404,611.2137346,676.7386364
49,1,733.349481,943.5714953,824.803249,820.6984877,706.7647059,843.84,705.6747405,819.0842872
50,1,1138.225762,904.9712329,926.9400493,1212.376917,987.3674197,959.9586207,900.1548387,960.8
51,1,594.6151655,590.6990323,607.5272382,641.9252403,544.6857143,534.1428571,560.0507937,594.5605536
52,1,534.647929,560.9903434,591.6163871,650.0625,481.6,555.9609375,613.9741935,562.8164063
53,1,682.264,670.2597648,782.1475827,812.0735533,721.0887097,705.8017241,899.7337278,894.2051282
54,1,596.1168639,661.3905882,603.8824183,668.972549,612.9983193,603.4285714,636.2756303,718.1703629
55,1,611.3942308,626.8589024,629.5661043,688.3391003,651.8680556,738.3801653,660.5325987,641.9461224
56,1,594.1694118,605.797598,639.28125,696.96,602.3104839,594.4536272,649.7254362,655.92
57,1,773.3402749,926.4803571,884.3102679,1118.070988,772.4179688,835.6781609,771.6033058,790.239334
58,1,814.0664452,894.9443478,878.9558557,1167.421488,709.2943548,681.0176471,758.8189386,759.7086368
59,1,619.5482507,692.0491277,748.4556741,807.5025,759.3876338,710.8548387,858.2678571,768.0413793
60,1,633.9587042,717.1672662,691.4746195,681.9142024,636.5283203,607.4844291,636.4812834,656.8200758
61,2,625.3326475,699.8476056,634.3203957,729.820908,575.0657439,604.8055556,591.9869388,627.0655462
62,2,620.7962963,637.6684869,640.5353107,626.5925926,632.6008163,672.3278237,634.922449,605.9190476
63,2,665.8782485,650.1372206,669.3598694,662.2988166,617.3485714,607.2975779,653.449827,631.0890756
64,2,552.5185185,591.5772627,594.7519894,623.2698962,629.7357955,597.6528926,580.9411765,567.798574
65,2,794.6890211,781.3717141,666.5595471,656.2296,632.5432526,646.4415584,612.2285714,740.5058594
66,2,924.0696,952.5808328,972.6022405,1078.459302,931.4894399,999.6827586,1088.809524,1062.037037
67,2,597.2830189,632.308136,617.4885778,626.3144796,606.9411765,639.75,668.0330579,623.1085714
68,2,686.9284443,731.5076394,736.0107616,683.6612841,681.9134694,712.1969697,670.25,688.546875
69,2,562.3958704,578.5783486,586.3886085,569.5603418,566.9779592,578.1176471,597.4411765,567.1122995
70,2,573.3918367,554.3207804,558.7458042,563.5884656,551.4906122,563.8613445,578.6446281,557.3714286
71,2,583.1296296,619.4197813,624.0802199,599.0185185,615.1820988,614.8051948,653.9761249,625.2513369
72,2,1012.261657,1044.01493,1152.659109,1188.424036,964.40625,1026.372043,1150.095238,1030.827778
73,2,612.6666667,693.1140203,686.5020694,668.6666667,639.3425606,609.0833333,633.9238754,646.5
74,2,531.7986968,588.36951,557.6552917,604.3446746,528.4506122,566.3148789,525.717551,530.5008403
75,2,650.154321,692.6497696,646.8699194,704.615917,684.1818182,639.2571429,662.8546713,675.0934256
76,2,644.4393004,729.4347326,664.9978259,651.1806997,640.7536765,640.2710204,673.4876033,621.6571429
77,2,564.6987755,558.8307905,538.9699675,558.3972944,534.357551,546.7577855,503.5004082,500.6388889
78,2,640.222,615.23619,646.2530344,627.4463668,677.390625,648.0605042,665.3489736,638.107563
79,2,716.8015123,680.66431,652.9268783,692.928,775.3673257,701.1727941,754.4,717.328125
80,2,618.5544022,666.9379071,642.8930274,727.03125,847.3204995,857.9179688,821.3697959,937.36
81,2,596.0761246,611.7066989,633.7874488,663.6328125,556.9166667,600.2035985,610.8420168,684.6679688
82,2,602.8266287,595.0485802,628.0904605,691.3619325,550.8961397,568.6184874,587.4318367,700.5731183
83,2,670.0752,724.4174359,711.4742661,1051.708333,653.8181818,629.2265625,730.4882813,992.0553846
84,2,846.7623967,844.4078283,824.8971219,782.056,1096.570888,967.2071006,1119.25,1331.939058
85,2,617.5283019,630.4184518,658.2514205,694.7152941,605.8055556,611.7222222,687.2698962,658.3888889
86,2,729.328125,755.2248276,766.6883551,714.0440089,659.4318367,642.3428571,719.1586453,748.9717742
87,2,722.010355,698.226926,745.6422569,730.3579882,748.6747899,699.4285714,715.0588235,713.2235294
