subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,620.1176471,619.6666667,599.9934641,591.0784314,589.5555556,612.8,566.3714286,591.9677419
2,1,621.1538462,623.6315789,613,643.8518519,587.1764706,597.1111111,598.9117647,579.7352941
3,1,629.5192308,651.2885906,625.8040541,622.509434,587.3055556,603.7647059,585.6285714,604.9117647
4,1,547.6470588,574.707483,557.047619,576.2941176,539.1875,583.1714286,538.9655172,543
5,1,638,649.3733333,628.4304636,642.4230769,615.625,645.4285714,600.0277778,614.8
6,1,575.7307692,600.0580645,592.6903226,600.8727273,577.4444444,594.8823529,567.0277778,554.8235294
7,1,646.7058824,680.0921986,670,660.0652174,641.0322581,623.5454545,646.1666667,642.1428571
8,1,784.75,769.5882353,732.375,757.7446809,748.2,722.0555556,703.9,711.9333333
9,1,569.9056604,565.4615385,585.9577465,596.1702128,573.8529412,552.0571429,555.8125,548
10,1,548.1960784,565.0939597,556.1096774,574.4,551.3235294,586.8055556,525.1470588,534.0571429
11,1,671.037037,656.6298701,624.0397351,621.3888889,694.1666667,663.9117647,640.8333333,669.0909091
12,1,585.6226415,619.8552632,626.6122449,623.3061224,599.53125,607,626.6285714,607.6666667
13,1,567.3703704,596.2039474,571.8333333,586.9814815,569,580.3823529,568.1714286,593.6
14,1,542.5,595.6086957,574.9591837,605.5,570.4,593.516129,642.34375,679.59375
15,1,627.5384615,667.170068,664.8163265,642.8163265,617.5428571,620.25,614.0857143,648.7666667
16,1,578.5660377,593.46,564.0533333,592.75,552.1176471,591.6666667,579.4444444,562.28125
17,1,727.6538462,707.6515152,717.4929577,742.2340426,717.483871,720.59375,723.21875,737.1515152
18,1,619.9433962,630.1503268,640.2689655,626.877551,646.4,627.2058824,628.4375,639.1515152
19,1,869.5853659,877.661157,869.5614035,862.7948718,877.0322581,872.9677419,846.8285714,829.3571429
20,1,610.9259259,633.8819876,603.4121622,642.5925926,617,621.1944444,601.2285714,649.1142857
21,1,599.5294118,597.9251701,621.4459459,659.9375,583.3888889,554.1944444,604.7714286,593.75
22,1,563.1111111,561.2516129,559.343949,561.4807692,543,564.3142857,565.2647059,546.2647059
23,1,672.5714286,669.0070922,672.9726027,675.1333333,634.8285714,658.9375,673.0606061,699
24,1,599.7058824,569.266055,588.9215686,603.40625,597.1764706,593.7878788,590.59375,601.5588235
25,1,596.6470588,602.2702703,628.4375,675.4468085,579.0588235,576.1470588,580.3125,631.9354839
26,1,711.877551,726.9782609,731.958042,722.4693878,702.8333333,701.6363636,734.6944444,711.6060606
27,1,450.52,451.3006993,468.3714286,507.2291667,468.3636364,443,469.3,465.6774194
28,1,574.8269231,571.9731544,622.9724138,641.4313725,565.1818182,595.4117647,607.7941176,611.7647059
29,1,582,594.0945946,589.4575163,595.5,564.3939394,572.0571429,584.0571429,588.2571429
30,1,571.4897959,572.4407895,590.7671233,606.28,590.9722222,572.5588235,584.7878788,617.8235294
31,1,603.84,632.7816901,630.885906,637.5416667,618.53125,627.9393939,615.5454545,638.8857143
32,1,613.4285714,608.2534247,638.6293706,654.6818182,628.9714286,637.0571429,625.969697,627.3142857
33,1,664.54,690.6176471,658.9583333,719.7755102,644.1818182,670.6111111,661.1470588,687.6551724
34,1,699.8076923,691.0564516,665.6884058,658.0888889,665.0333333,690.952381,640.28,650.0625
35,1,515.462963,537.1688312,521.4387097,553.3396226,526.2222222,534.0857143,522.5142857,537.9722222
36,1,626.6458333,616.1354839,657.9230769,653.48,594.1142857,598.9714286,625.2857143,644
