version,subjID,Gender,Age,Q1_SC_SystematicVariation,Q2_BearTurtle,Q2_BearBird,Q2_BearDeer,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SC_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SCT_ForcedChoicePerformance
1,1,Female,39,0,49,49,49,2,3,0,0,1,1,2,0,1,1,1,3
1,2,Male,31,0,59,34,50,2,2,0,1,1,0,2,1,0,0,1,2
1,3,Male,30,0,50,67,50,2,1,1,0,1,0,2,0,0,1,0,1
1,4,Female,25,0,67,7,70,2,2,0,1,1,0,2,1,1,0,0,2
1,5,Female,32,0,50,50,50,2,2,0,1,1,0,2,0,0,1,1,2
1,6,Male,32,0,49,49,48,0,2,0,0,0,0,0,0,1,0,1,2
1,7,Female,35,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
1,8,Male,69,0,63,64,51,2,2,1,0,1,0,2,1,1,0,0,2
1,9,Male,32,0,4,4,48,3,2,0,1,1,1,3,0,1,1,0,2
1,10,Female,28,0,0,0,0,4,0,1,1,1,1,4,0,0,0,0,0
2,11,Male,38,0,51,56,42,2,2,0,0,1,1,2,0,1,1,0,2
2,12,Female,39,1,25,91,33,2,3,0,1,1,0,2,1,1,1,0,3
2,13,,,,,,,,,,,,,,,,,,
2,14,Female,31,0,28,27,27,2,2,0,1,1,0,2,0,1,1,0,2
2,15,Male,30,1,68,66,84,1,1,0,1,0,0,1,0,0,1,0,1
2,16,Female,37,0,36,69,24,2,2,0,1,0,1,2,0,1,0,1,2
2,17,Male,43,0,,,,,,,,,,,,,,,
2,18,Female,34,0,76,27,64,2,2,1,0,0,1,2,1,0,0,1,2
2,19,Male,26,0,52,61,69,2,2,1,0,0,1,2,1,1,0,0,2
2,20,Female,54,0,51,69,36,1,4,0,0,0,1,1,1,1,1,1,4
3,21,Male,31,1,85,73,95,0,0,0,0,0,0,0,0,0,0,0,0
3,22,Female,36,0,51,19,2,1,1,0,0,0,1,1,0,0,0,1,1
3,23,Female,28,0,86,93,94,0,0,0,0,0,0,0,0,0,0,0,0
3,24,Male,28,0,96,100,99,0,0,0,0,0,0,0,0,0,0,0,0
