subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,672.4376471,698.9465072,659.5448105,654.7969675,641.9142857,715.0091827,631.3079585,652.2269388
2,1,774.016297,713.6585026,739.3807631,795.4260725,674.6840816,683.5462185,694.3079585,755.769306
3,1,590.0658284,605.5409955,581.2753428,544.2777778,615.483871,637.5195313,561.1133218,595.6295525
4,1,664.4755917,686.6405208,693.8731809,706.4306539,659.8027682,691.3865932,669.7219251,654.6087963
5,1,1099.979239,1018.477718,773.6011481,791.8992087,959.7514793,1028.3632,730.4275862,677.2773186
6,1,809.1970486,813.2514085,793.553251,978.5475,718.2421875,727.1735537,897.431629,829.56
7,1,765.8671875,863.2844961,840.0249214,1355.289409,761.4876033,782.4455645,982.2397959,871.587396
8,1,630.5658284,629.7937284,626.8140182,617.505144,647.1016043,646.2453782,616.7798319,616.017301
9,1,653.7093426,698.2688819,677.4344406,741.847147,726.3704475,666.6228374,724.892562,743.7688172
10,1,712.2647929,733.8269371,834.2119565,771.056,736.5289256,680.1350649,782.78125,729.8529412
11,1,619.0872197,623.6589873,676.5521706,675.8727273,653.6718367,707.583779,677.5053061,747.3094582
12,1,591.8805473,602.9845626,639.3584027,697.7709371,602.5989305,650.85,600.9277311,587.8055556
13,1,852.4198251,825.5624173,866.2218977,874.1736,860.516129,845.7890625,765.7428571,858.7617188
14,1,818.4140625,823.6740812,830.6632166,796.8100791,819.3115234,756.9586777,795.9423828,759.083045
15,1,600.7037037,606.7421384,618.4226012,621.2962963,572.1579832,574.8392256,615.6734694,635.6617647
16,1,648.5935143,628.8803217,630.0236435,612.0320399,658.9760666,569.4722222,623.9896194,628.59375
17,1,734.1384083,803.7869558,791.160955,843.3674074,722.7272727,733.9802289,785.9310345,730.6446281
18,1,751.4682353,802.2314815,777.6754267,799.6401384,736.1937716,715.9117647,766.3702422,841.1835938
19,1,745.5623819,762.9985182,688.4495545,674.4992,689.2382813,713.0277778,679.7513369,715.6054688
20,1,1086.132213,967.5466905,1044.587077,1031.346674,849.4431818,877.7644184,931.88,1003.525377
21,1,618.6835173,607.3207547,539.9741997,572.9622642,588.9012245,619.9411765,521.8888889,563.687395
22,1,615.8453361,659.5973154,621.6035669,666.4152249,667.9307958,612.9697959,640.0739496,660.1142857
23,1,638.5764706,649.9456862,598.6944152,656.4530612,619.3055556,642.802139,606.2714286,610.5622837
