subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,635.08,664.6423841,618.8321678,642.4423077,641.9142857,674.1515152,596.2352941,616.9714286
2,1,673.6808511,678.4161074,698.3040541,721.7755102,655.9428571,664.5588235,674.4705882,674.0645161
3,1,568.2115385,575.8211921,548.7816901,544.2777778,547.0967742,582.875,515.6176471,512.9032258
4,1,639.8653846,640.3028169,637.8461538,641.0204082,623.1470588,651.8787879,632.5151515,636.9166667
5,1,705.6470588,710.4196429,639.8923077,705.5102041,693.1538462,694.84,608.6896552,638.5757576
6,1,706.2083333,712.85,719.6197183,724.85,638.4375,666.5757576,722.9310345,691.3
7,1,680.7708333,697.0620155,705.2061069,714.6071429,698.030303,676.7096774,763.9642857,722.1724138
8,1,607.2115385,618.0584416,603.5986842,606.2777778,611.1515152,628.2941176,599.6470588,581.7941176
9,1,617.3921569,637.9246575,656.3961039,660.9183673,608.5806452,629.5882353,664.4848485,658.7666667
10,1,685.8846154,692.8055556,710.625,700.96,675.1515152,661.2424242,698.15625,709
11,1,607.6226415,608.26,659.7434211,675.8727273,635.5142857,650.2121212,658.6857143,704.6060606
12,1,559.5961538,591.8181818,607.5890411,607.3191489,569.1212121,578.5333333,584.2352941,587.8055556
13,1,759.4285714,758.9020979,780.6691176,809.42,741,751.8125,765.7428571,763.34375
14,1,727.4791667,716.9015152,744.0296296,736.6734694,708.59375,693.8787879,727.71875,716.9117647
15,1,600.7037037,606.7421384,603.0580645,621.2962963,556.2647059,559.3030303,598.5714286,617.5
16,1,613.2156863,586.1785714,598.7181208,600.6981132,567.4516129,569.4722222,589.3235294,558.75
17,1,693.3529412,685.4379562,688.6030534,716.0666667,682.5757576,650.0967742,637.2413793,669.7575758
18,1,709.72,732.4722222,729.9652778,755.2156863,695.2941176,715.9117647,723.7941176,747.71875
19,1,635.1086957,641.2932331,624.7042254,636.32,612.65625,611.1666667,624.6363636,636.09375
20,1,758.2432432,776.4263566,806.008547,806.3255814,778.65625,782.8709677,776.5666667,774.1481481
21,1,607.2264151,607.3207547,536.6410256,572.9622642,572.5428571,585.5,521.8888889,548.0294118
22,1,604.6481481,610.738255,606.16,629.3921569,630.8235294,595.9428571,622.2941176,660.1142857
23,1,603.1,609.5763889,576.5205479,596.7755102,619.3055556,607.0909091,573.5,593.1176471
24,1,634.1851852,619.88125,580.8618421,592.6923077,634.1515152,652.3333333,595.75,593.5555556
25,1,657.25,659.4361702,680.4285714,671.6842105,652.0666667,620.9677419,663.4375,633.6176471
26,1,642.1320755,679.8723404,694.7876712,723.6041667,594.516129,617.4,675.6285714,691.4516129
27,1,653.1132075,670.3958333,648.205298,649.7924528,673.7058824,642.7941176,659.2285714,662.2941176
28,1,546.5686275,563.6357616,585.8766234,617.76,532.6944444,530.7941176,556,580.1176471
29,1,755.244898,783.1370968,791.8561151,815.8918919,757.9230769,749.9375,764.125,767.6923077
30,1,681.245283,685,668.9115646,677.1538462,689.8333333,680.4117647,685.5294118,677.4444444
31,2,700.9375,687.1849315,702.3098592,695.5,707.9615385,730.4545455,723.5833333,713.1363636
32,2,675.5576923,701.5430464,660.5068493,660.4042553,665.9090909,667.3,634.9722222,640.1818182
33,2,662.0243902,672.1272727,685.5945946,709.3714286,665.4615385,724.8846154,678.0384615,677.0689655
34,2,666.75,672.2129032,666.6369863,702.3921569,645.2424242,622.25,612.0625,608.6571429
35,2,708.8235294,743.5145631,688.0625,706.3611111,719.2083333,759.52,733.8333333,682.4482759
36,2,673.7959184,684.4097222,701.6917808,705.6851852,676.2,692.3529412,713.8787879,730.1875
37,2,663.6415094,695.3066667,654.5816993,683.509434,669.6,689.8888889,708.4722222,673.8235294
38,2,665.4390244,696.64,631.8785714,647.9512195,640.7419355,654.1714286,727.21875,657.6857143
39,2,584.6226415,583.3443709,594.2368421,598.125,595,575.5151515,591.7352941,582.5588235
40,2,646.4545455,634.6744186,614.9924242,615.6818182,631.5357143,624.72,599.3793103,619.53125
41,2,601.9019608,640.6119403,652.5972222,657.6590909,645.71875,638.0689655,652.1290323,677.1071429
42,2,666.9807692,665.1376812,659.6907895,646.1590909,633.1142857,651.3333333,650.3142857,665.5454545
43,2,698.1538462,695.4786325,709.9568966,714.5,669.1935484,681.0833333,692.1333333,696.78125
44,2,650.3809524,666.2761194,651.1679389,672.7073171,626.8709677,616.8611111,617.4857143,632.0645161
45,2,618.5272727,666.6666667,625.2758621,674.3809524,652.9655172,628.483871,649.32,689.25
46,2,592.8541667,611.0705128,609.9205298,630.94,625.7714286,623.6285714,628.7058824,622.2647059
47,2,592.1698113,607.1633987,604.9066667,608.8148148,621.8823529,601.5454545,584.5428571,576.7142857
48,2,526.8039216,532.9863014,559.5958904,547.6415094,520.8529412,525.5757576,558.125,547.125
49,2,640.9591837,654.2054795,691.7115385,674.0217391,635.3333333,635.8484848,671.78125,661.9666667
50,2,596.9019608,626.1503759,621.4926471,638.5744681,615.516129,630.5757576,616.15625,626.969697
51,2,722.2195122,782.1018519,738.8108108,749.6052632,726.59375,715.6363636,689.9428571,676.4411765
52,2,679.4423077,691.9343066,679.1956522,678.3061224,675.0967742,660.2333333,668.6285714,669.483871
53,2,627.627451,620.020979,622.6133333,640.7058824,615.1764706,621.6,588.0571429,595.7428571
54,2,611.3958333,624,593.2285714,619.08,631.6363636,626.1333333,605.2727273,607.0909091
55,2,518.7735849,545.6351351,520.6190476,555.4893617,501.6,545.9354839,503.59375,526.4705882
56,2,672.7962963,684.7388535,681.4569536,685.8235294,653.9166667,663.6571429,659.5757576,673.7142857
57,2,618.245283,638.1437908,663.9205298,649.3333333,607.6875,593.4848485,630.6111111,612.46875
58,2,638.3461538,653.6689189,622.3333333,596,680,682.1176471,627.3235294,663.5
59,2,625.9795918,631.294964,628.4692308,656.6976744,682.5,668.5294118,730.4285714,712.9166667
60,2,657.4,689.9545455,693.5581395,739.4047619,660.5833333,719.5333333,690.4666667,729.4666667
