subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
1,1,0.944444444,0.950920245,0.938271605,0.981132075,1,0.942857143,0.944444444,0.945945946,0
2,1,0.87037037,0.950617284,0.944444444,0.907407407,0.972222222,0.972222222,0.971428571,0.891891892,0
3,1,0.962962963,0.950920245,0.944099379,1,0.888888889,0.914285714,0.918918919,0.861111111,0
4,1,0.962962963,0.932515337,0.919254658,0.907407407,0.944444444,0.942857143,0.944444444,0.972972973,0
5,1,0.641509434,0.697530864,0.827160494,0.890909091,0.722222222,0.675675676,0.833333333,0.942857143,0
6,1,0.872727273,0.87654321,0.906832298,0.740740741,0.888888889,0.916666667,0.805555556,0.833333333,0
7,1,0.888888889,0.807453416,0.839506173,0.527272727,0.916666667,0.864864865,0.777777778,0.828571429,0
8,1,0.962962963,0.98136646,0.962962963,0.981818182,0.944444444,0.972222222,0.972222222,0.944444444,0
9,1,0.944444444,0.913580247,0.968944099,0.890909091,0.837837838,0.944444444,0.916666667,0.885714286,0
10,1,0.962962963,0.944099379,0.851851852,0.909090909,0.916666667,0.972222222,0.891891892,0.971428571,0
11,1,0.981481481,0.975308642,0.97515528,1,0.972222222,0.918918919,0.972222222,0.942857143,0
12,1,0.945454545,0.981481481,0.950310559,0.87037037,0.944444444,0.888888889,0.972222222,1,0
13,1,0.890909091,0.919254658,0.901234568,0.925925926,0.861111111,0.888888889,1,0.888888889,0
14,1,0.888888889,0.87037037,0.895705521,0.924528302,0.864864865,0.916666667,0.914285714,0.944444444,0
15,1,1,1,0.97515528,1,0.972222222,0.972972973,0.972222222,0.971428571,0
16,1,0.945454545,0.932098765,0.950310559,0.981481481,0.861111111,1,0.944444444,0.888888889,0
17,1,0.944444444,0.852760736,0.87037037,0.849056604,0.944444444,0.885714286,0.810810811,0.916666667,0
18,1,0.944444444,0.913043478,0.938650307,0.944444444,0.944444444,1,0.944444444,0.888888889,0
19,1,0.851851852,0.840490798,0.907407407,0.943396226,0.888888889,0.857142857,0.918918919,0.888888889,0
20,1,0.698113208,0.802469136,0.771604938,0.781818182,0.916666667,0.891891892,0.833333333,0.771428571,0
21,1,0.981481481,1,0.99382716,1,0.972222222,0.944444444,1,0.972222222,0
22,1,0.981818182,0.925925926,0.97515528,0.944444444,0.944444444,0.972222222,0.972222222,1,0
23,1,0.944444444,0.937888199,0.962962963,0.909090909,1,0.944444444,0.945945946,0.971428571,0
24,1,1,1,0.98757764,0.962962963,0.942857143,1,0.972972973,1,0
25,1,0.666666667,0.607361963,0.857142857,0.703703704,0.833333333,0.861111111,0.916666667,0.944444444,0
26,1,0.963636364,0.919753086,0.956521739,0.888888889,0.914285714,0.972222222,0.972222222,0.891891892,0
27,1,0.981481481,0.950617284,0.968944099,0.981818182,0.945945946,0.944444444,1,0.971428571,0
28,1,0.962962963,0.975308642,0.975308642,0.925925926,0.972972973,1,1,0.944444444,0
29,1,0.907407407,0.790123457,0.888888889,0.685185185,0.72972973,0.888888889,0.916666667,0.771428571,0
30,1,0.981481481,0.956790123,0.938271605,0.962962963,1,0.944444444,0.944444444,1,0
31,1,0.944444444,0.98136646,0.975308642,0.927272727,1,1,0.945945946,0.885714286,1
32,1,0.945454545,0.950310559,0.969135802,1,0.971428571,1,0.918918919,0.944444444,1
33,1,0.962962963,0.938271605,0.938271605,0.981481481,1,0.918918919,1,0.944444444,1
34,1,0.927272727,0.944099379,0.956790123,0.944444444,0.914285714,0.972222222,0.861111111,0.891891892,1
35,1,1,0.962732919,0.962962963,0.962962963,0.944444444,0.972222222,1,1,1
36,1,0.962962963,0.98757764,0.987654321,1,1,0.972222222,0.972972973,0.971428571,1
37,1,0.927272727,0.925925926,0.919254658,0.87037037,0.942857143,0.916666667,0.864864865,1,1
38,1,0.833333333,0.771604938,0.777777778,0.87037037,0.472222222,0.594594595,0.6,0.472222222,1
39,1,0.981481481,0.900621118,0.907407407,0.854545455,0.944444444,0.945945946,0.916666667,0.885714286,1
40,1,0.945454545,0.956521739,0.975308642,0.925925926,0.971428571,1,0.972222222,0.945945946,1
41,1,1,0.981595092,0.968944099,1,1,1,1,0.945945946,1
42,1,0.981481481,0.962962963,0.944444444,0.907407407,0.916666667,0.942857143,0.972222222,0.891891892,1
43,1,1,0.963190184,0.97515528,1,1,0.944444444,1,0.972222222,1
