subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
1,1,635.08,664.6423841,618.8321678,642.4423077,641.9142857,674.1515152,596.2352941,616.9714286,0
2,1,673.6808511,678.4161074,698.3040541,721.7755102,655.9428571,664.5588235,674.4705882,674.0645161,0
3,1,568.2115385,575.8211921,548.7816901,544.2777778,547.0967742,582.875,515.6176471,512.9032258,0
4,1,639.8653846,640.3028169,637.8461538,641.0204082,623.1470588,651.8787879,632.5151515,636.9166667,0
5,1,705.6470588,710.4196429,639.8923077,705.5102041,693.1538462,694.84,608.6896552,638.5757576,0
6,1,706.2083333,712.85,719.6197183,724.85,638.4375,666.5757576,722.9310345,691.3,0
7,1,680.7708333,697.0620155,705.2061069,714.6071429,698.030303,676.7096774,763.9642857,722.1724138,0
8,1,607.2115385,618.0584416,603.5986842,606.2777778,611.1515152,628.2941176,599.6470588,581.7941176,0
9,1,617.3921569,637.9246575,656.3961039,660.9183673,608.5806452,629.5882353,664.4848485,658.7666667,0
10,1,685.8846154,692.8055556,710.625,700.96,675.1515152,661.2424242,698.15625,709,0
11,1,607.6226415,608.26,659.7434211,675.8727273,635.5142857,650.2121212,658.6857143,704.6060606,0
12,1,559.5961538,591.8181818,607.5890411,607.3191489,569.1212121,578.5333333,584.2352941,587.8055556,0
13,1,759.4285714,758.9020979,780.6691176,809.42,741,751.8125,765.7428571,763.34375,0
14,1,727.4791667,716.9015152,744.0296296,736.6734694,708.59375,693.8787879,727.71875,716.9117647,0
15,1,600.7037037,606.7421384,603.0580645,621.2962963,556.2647059,559.3030303,598.5714286,617.5,0
16,1,613.2156863,586.1785714,598.7181208,600.6981132,567.4516129,569.4722222,589.3235294,558.75,0
17,1,693.3529412,685.4379562,688.6030534,716.0666667,682.5757576,650.0967742,637.2413793,669.7575758,0
18,1,709.72,732.4722222,729.9652778,755.2156863,695.2941176,715.9117647,723.7941176,747.71875,0
19,1,635.1086957,641.2932331,624.7042254,636.32,612.65625,611.1666667,624.6363636,636.09375,0
20,1,758.2432432,776.4263566,806.008547,806.3255814,778.65625,782.8709677,776.5666667,774.1481481,0
21,1,607.2264151,607.3207547,536.6410256,572.9622642,572.5428571,585.5,521.8888889,548.0294118,0
22,1,604.6481481,610.738255,606.16,629.3921569,630.8235294,595.9428571,622.2941176,660.1142857,0
23,1,603.1,609.5763889,576.5205479,596.7755102,619.3055556,607.0909091,573.5,593.1176471,0
