version,subjID,Gender,Age,Q1_SC_SystematicVariation,Q2_BearTurtle,Q2_BearBird,Q2_BearDeer,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SC_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SCT_ForcedChoicePerformance,Experiment
1,1,Female,60,0,64,25,40,2,2,1,1,0,0,2,1,1,0,0,2,0
1,2,Male,26,1,79,73,93,2,1,1,1,0,0,2,1,0,0,0,1,0
1,3,female,38,0,18,33,37,2,2,1,0,0,1,2,1,0,0,1,2,0
1,4,MALE,39,0,77,66,68,2,2,1,1,0,0,2,1,1,0,0,2,0
1,5,Female,25,0,51,51,50,3,2,1,1,1,0,3,1,1,0,0,2,0
2,6,Male,36,1,84,67,75,1,1,0,0,0,1,1,1,0,0,0,1,0
2,7,Female,34,1,,,,,,,,,,,,,,,,0
2,8,MALE,26,1,,,,,,,,,,,,,,,,0
2,9,male,26,1,,,,,,,,,,,,,,,,0
2,10,MALE,26,1,88,95,89,4,2,1,1,1,1,4,0,1,0,1,2,0
3,11,female,49,0,60,25,32,4,0,1,1,1,1,4,0,0,0,0,0,0
3,12,female,30,1,53,18,29,2,2,0,0,1,1,2,0,0,1,1,2,0
3,13,Male,25,1,51,41,69,1,3,0,0,0,1,1,1,0,1,1,3,0
3,14,female,25,1,43,62,51,1,3,0,0,1,0,1,0,1,1,1,3,0
3,15,female,48,0,50,50,50,2,4,1,0,0,1,2,1,1,1,1,4,0
4,16,Male,26,0,50,50,50,2,2,0,1,0,1,2,0,1,0,1,2,0
4,17,FEMALE,26,1,93,99,98,2,2,0,1,1,0,2,0,1,1,0,2,0
4,18,Female,38,1,84,75,50,1,2,0,0,1,0,1,0,0,1,1,2,0
4,19,Male,24,0,51,50,50,1,3,0,0,1,0,1,1,0,1,1,3,0
4,20,female ,30,1,55,73,63,1,1,0,0,1,0,1,0,0,1,0,1,0
5,21,male,27,1,68,59,63,2,2,1,0,1,0,2,1,0,0,1,2,0
5,22,Male,25,1,60,40,70,2,2,1,0,1,0,2,1,0,1,0,2,0
5,23,Male,21,0,47,47,50,2,2,1,0,1,0,2,1,0,1,0,2,0
5,24,Male,33,0,10,30,60,2,2,0,0,1,1,2,0,1,1,0,2,0
5,25,Male,30,1,67,50,50,2,2,1,0,1,0,2,1,0,1,0,2,0
6,26,female,39,0,40,12,5,4,2,1,1,1,1,4,1,1,0,0,2,0
6,27,Male,27,0,62,40,84,2,1,0,0,1,1,2,0,1,0,0,1,0
6,28,FEMALE,47,0,33,50,30,4,0,1,1,1,1,4,0,0,0,0,0,0
6,29,male,69,1,50,15,33,2,2,1,1,0,0,2,1,1,0,0,2,0
6,30,male,28,1,41,36,43,2,2,0,0,1,1,2,1,1,0,0,2,0
1,31,Female,39,0,49,49,49,2,3,0,0,1,1,2,0,1,1,1,3,1
1,32,Male,31,0,59,34,50,2,2,0,1,1,0,2,1,0,0,1,2,1
