subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE
1,1,1,630.625,650.6410256,618.3,663.1388889,1,0.975,1,0.9,630.625,667.3241289,618.3,736.8209877
2,1,1,674.9714286,694.7714286,667.8285714,700.3714286,0.875,0.875,0.875,0.875,771.3959184,794.0244898,763.2326531,800.4244898
3,1,1,622.5277778,623.3529412,639.95,628.4594595,0.9,0.85,1,0.925,691.6975309,733.3564014,639.95,679.4156318
4,1,1,628.0909091,658.8148148,614.1891892,638.2777778,0.825,0.7,0.925,0.9,761.322314,941.1640212,663.9883126,709.1975309
5,1,1,682.1081081,679,670.5757576,666.5526316,0.925,0.9,0.825,0.95,737.4141709,754.4444444,812.8191001,701.634349
6,1,1,641.7714286,683.4864865,656.6451613,672.8055556,0.875,0.925,0.775,0.9,733.4530612,738.9043097,847.2840791,747.5617284
7,1,1,748.1142857,744.03125,725.4193548,796.375,0.875,0.8,0.775,0.6,854.9877551,930.0390625,936.024974,1327.291667
8,1,1,685.6756757,757.7857143,661.8684211,737.4193548,0.925,0.725,0.95,0.8,741.2710007,1045.221675,696.7036011,921.7741935
9,1,1,753.4848485,764.3888889,775.4848485,753.3,0.825,0.9,0.825,0.5,913.3149679,849.3209877,939.9816345,1506.6
10,1,1,541.2631579,538.1578947,551.2820513,548.2702703,0.95,0.975,1,0.925,569.7506925,551.9568151,551.2820513,592.7246165
11,1,1,863.2333333,898.137931,862.4615385,874.9545455,0.75,0.75,0.65,0.55,1150.977778,1197.517241,1326.863905,1590.826446
12,1,1,700.3714286,742.6571429,687.5405405,684.3823529,0.9,0.875,0.925,0.875,778.1904762,848.7510204,743.2870709,782.1512605
13,1,1,573.4473684,584.1538462,539.375,564.4102564,0.95,0.975,1,0.975,603.6288089,599.1321499,539.375,578.8823143
14,1,1,628.8333333,665.6756757,621.2432432,641.4375,0.75,0.925,0.925,0.8,838.4444444,719.6493791,671.614317,801.796875
15,1,1,664.3870968,670.4583333,652.75,677.8055556,0.775,0.625,0.925,0.9,857.2736733,1072.733333,705.6756757,753.117284
16,1,2,786.4782609,777.8387097,730.4722222,723.7941176,0.575,0.775,0.9,0.85,1367.78828,1003.662851,811.6358025,851.5224913
17,1,2,738.4193548,745.1818182,719.7878788,729.8888889,0.775,0.85,0.825,0.925,952.7991675,876.684492,872.4701561,789.0690691
18,1,2,766.8064516,764.9047619,728.2857143,703.6129032,0.775,0.525,0.875,0.775,989.4276795,1456.961451,832.3265306,907.8876171
19,1,2,569.6,613.4444444,583.8857143,604.3846154,1,0.9,0.9,1,569.6,681.6049383,648.7619048,604.3846154
20,1,2,672.8,706.3478261,626.9666667,630.9375,0.5,0.6,0.75,0.8,1345.6,1177.246377,835.9555556,788.671875
21,1,2,802.8275862,809.08,795.3870968,777.3461538,0.725,0.625,0.775,0.65,1107.348395,1294.528,1026.305931,1195.91716
22,1,2,601.3157895,666.6578947,602.3888889,627.4324324,0.95,0.975,0.9,0.925,632.9639889,683.7516869,669.3209877,678.3053324
23,1,2,638.03125,668.8518519,605.5652174,650.4,0.8,0.675,0.6,0.65,797.5390625,990.8916324,1009.275362,1000.615385
24,1,2,671.6216216,719.0857143,693.9705882,734.030303,0.925,0.875,0.875,0.825,726.0774288,821.8122449,793.1092437,889.7337006
25,1,2,652,680.7307692,704.0526316,678,0.675,0.65,0.95,0.875,965.9259259,1047.278107,741.1080332,774.8571429
26,1,2,571.1212121,580.6216216,582.5277778,622.1111111,0.85,0.925,0.9,0.9,671.9073084,627.6990504,647.2530864,691.2345679
27,1,2,616.3783784,638.4615385,602.9210526,632.4594595,0.925,0.975,0.95,0.925,666.3550037,654.8323471,634.6537396,683.7399562
28,1,2,652.2121212,641,644.2727273,653.40625,0.825,0.85,0.825,0.8,790.5601469,754.1176471,780.9366391,816.7578125
29,1,2,625.2432432,666.1578947,627.6052632,642.0909091,0.925,0.95,0.95,0.825,675.9386413,701.2188366,660.6371191,778.292011
30,1,2,669.3783784,704.3823529,675.6470588,695.9189189,0.925,0.85,0.85,0.925,723.6523009,828.6851211,794.8788927,752.3447772
31,2,1,705.75,693.7931034,695.1034483,709.516129,0.8,0.725,0.75,0.775,882.1875,956.9560048,926.8045977,915.5046826
32,2,1,672.7692308,671.65,656.0512821,680.8717949,0.975,1,0.975,0.975,690.0197239,671.65,672.8731098,698.330046
33,2,1,773.0416667,756.52,766.3461538,754.4,0.6,0.625,0.675,0.75,1288.402778,1210.432,1135.327635,1005.866667
34,2,1,675.6216216,707.6060606,696,677.6,0.925,0.825,0.9,0.875,730.4017531,857.7043159,773.3333333,774.4
35,2,1,664.1142857,682.3243243,652.5,660.5555556,0.875,0.925,1,0.925,758.9877551,737.6479182,652.5,714.1141141
36,2,1,738.5555556,770,815.5555556,815.3,0.9,0.775,0.675,0.75,820.617284,993.5483871,1208.230453,1087.066667
37,2,1,582.5675676,612.35,638.3888889,650.1470588,0.925,1,0.9,0.85,629.8027757,612.35,709.3209877,764.8788927
38,2,1,607.8378378,609.2777778,617.9428571,599.8571429,0.925,0.9,0.875,0.9,657.1219869,676.9753086,706.2204082,666.5079365
39,2,1,541.0263158,556.5555556,658.1388889,652,0.95,0.9,0.9,0.85,569.501385,618.3950617,731.2654321,767.0588235
40,2,1,625.3076923,627.4864865,613,611.425,0.975,0.925,0.975,1,641.3412229,678.3637692,628.7179487,611.425
41,2,1,760.56,756.8214286,729.4,755.4074074,0.625,0.7,0.625,0.675,1216.896,1081.173469,1167.04,1119.122085
42,2,1,573.1052632,585.1052632,587.4722222,626.1025641,0.95,0.95,0.95,0.975,603.2686981,615.900277,618.3918129,642.156476
43,2,1,624.225,670.4117647,643.3030303,632.5833333,1,0.85,0.825,0.9,624.225,788.7197232,779.7612489,702.8703704
44,2,1,632.0512821,645.6410256,660.475,667.7222222,0.975,0.975,1,0.925,648.2577252,662.1959237,660.475,721.8618619
45,2,1,581.625,624.8055556,603.974359,640.4054054,0.8,0.9,0.975,0.975,727.03125,694.2283951,619.460881,656.8260568
46,2,2,685.7058824,699.03125,686.8181818,701.2058824,0.85,0.8,0.825,0.85,806.7128028,873.7890625,832.5068871,824.9480969
47,2,2,705.15,741.8648649,727.8181818,731.6756757,1,0.925,0.825,0.925,705.15,802.0160701,882.2038567,791.0007305
48,2,2,614.1764706,632.0789474,614.3076923,630.1,0.875,0.95,0.975,1,701.9159664,665.3462604,630.0591716,630.1
49,2,2,687.575,660.1944444,656.625,675.6176471,1,0.9,1,0.85,687.575,733.5493827,656.625,794.8442907
50,2,2,609.4516129,595.3611111,599.8235294,617.4102564,0.8,0.9,0.875,0.975,761.8145161,661.5123457,685.512605,633.2412886
51,2,2,658.4871795,644.4358974,623.9230769,651.3076923,0.975,0.975,0.975,0.975,675.3714661,660.9598948,639.9211045,668.0078895
52,2,2,667.1428571,692.28,688.5714286,688.4242424,0.743589744,0.625,0.875,0.825,897.1921182,1107.648,786.9387755,834.4536272
53,2,2,676.2432432,722.1071429,647.2758621,683.875,0.925,0.7,0.725,0.8,731.0737765,1031.581633,892.7942925,854.84375
54,2,2,720.68,715.9583333,743.1481481,741.6774194,0.625,0.6,0.692307692,0.794871795,1153.088,1193.263889,1073.436214,933.0780437
55,2,2,739.8,794.1428571,699.78125,758.8571429,0.421052632,0.35,0.825,0.875,1757.025,2268.979592,848.219697,867.2653061
56,2,2,644.5294118,681.7058824,632.8235294,681.7631579,0.871794872,0.85,0.875,0.95,739.3131488,802.0069204,723.2268908,717.6454294
57,2,2,735.1212121,747.3611111,761.7142857,752.2571429,0.825,0.9,0.875,0.9,891.0560147,830.4012346,870.5306122,835.8412698
58,2,2,701.6,696.15,660.4545455,657.8888889,1,1,0.868421053,0.95,701.6,696.15,760.523416,692.5146199
