subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE
1,1,1,670.95,735.1515152,681.0789474,722.75,1,0.825,0.95,0.8,670.95,891.0927456,716.9252078,903.4375
2,1,1,699.5135135,773.68,712.2666667,762.6956522,0.925,0.625,0.75,0.575,756.2308254,1237.888,949.6888889,1326.427221
3,1,1,637.0882353,665.2285714,723.4285714,723.3947368,0.85,0.875,0.875,0.95,749.5155709,760.2612245,826.7755102,761.468144
4,1,1,566.375,556.4594595,576.3823529,586.3783784,1,0.925,0.85,0.925,566.375,601.577794,678.0968858,633.9225712
5,1,1,514.6111111,538.1282051,607.9189189,626.4054054,0.9,0.975,0.95,0.925,571.7901235,551.9263642,639.9146515,677.1950329
6,1,1,615.8717949,626.65,689.1111111,689.1025641,1,1,0.9,0.975,615.8717949,626.65,765.6790123,706.7718606
7,1,1,682,708.8918919,690.7179487,734.4210526,0.975,0.925,0.975,0.95,699.4871795,766.3696129,708.4286654,773.0747922
8,1,1,614.1794872,603.2051282,616.5405405,630.9411765,0.975,0.975,0.925,0.875,629.9276792,618.6719264,666.5303141,721.0756303
9,1,1,601.975,601.6578947,627.0263158,632.6842105,1,0.95,0.95,0.95,601.975,633.3240997,660.0277008,665.9833795
10,1,1,636.35,687.4864865,673.1612903,740.4333333,1,0.925,0.775,0.75,636.35,743.228634,868.5952133,987.2444444
11,1,1,599.1538462,635.8205128,575.6756757,612.4,0.975,0.975,0.925,0.875,614.5167653,652.1236029,622.3520818,699.8857143
12,1,1,636.4848485,642.3142857,627.7714286,658.6944444,0.825,0.9,0.875,0.9,771.496786,713.6825397,717.4530612,731.882716
13,1,1,612.0810811,635.5,663.3157895,640.2368421,0.925,0.925,0.95,0.95,661.7092768,687.027027,698.2271468,673.933518
14,1,1,635.2142857,658.4,621.4615385,632.3947368,0.7,0.875,0.975,0.95,907.4489796,752.4571429,637.3964497,665.6786704
15,1,1,587.90625,596.7,611.972973,637.6470588,0.8,0.75,0.925,0.85,734.8828125,795.6,661.5924032,750.1730104
16,1,1,675.375,709.6842105,733.2424242,774.6470588,1,0.95,0.825,0.425,675.375,747.0360111,888.7786961,1822.698962
17,1,1,600.9428571,632.5405405,632.025641,658.6842105,0.875,0.925,0.975,0.95,686.7918367,683.8276114,648.2314267,693.3518006
18,1,1,578.9,625.8205128,592.4324324,612.8461538,1,0.975,0.925,0.975,578.9,641.8671926,640.4674945,628.5601578
19,1,1,711.3421053,719,700.8285714,726.2647059,0.95,0.925,0.875,0.85,748.7811634,777.2972973,800.9469388,854.4290657
20,1,1,646.5142857,651.15,625,629.5833333,0.875,1,0.9,0.925,738.8734694,651.15,694.4444444,680.6306306
21,1,1,772.25,788.0645161,764.4516129,794.2,0.725,0.775,0.775,0.75,1065.172414,1016.85744,986.3891779,1058.933333
22,1,1,572.7948718,588.6052632,573.5,569.9473684,0.975,0.95,0.9,0.975,587.4819198,619.5844875,637.2222222,584.5614035
23,1,1,649.8888889,620.3636364,627.3783784,620.3513514,0.9,0.825,0.95,0.925,722.0987654,751.9559229,660.398293,670.6501096
24,1,1,703.8947368,740.3333333,715.175,753.225,0.95,0.9,1,1,740.9418283,822.5925926,715.175,753.225
25,1,1,610.1538462,612.2307692,614.9230769,646.2173913,0.975,1,0.975,0.575,625.7988166,612.2307692,630.6903353,1123.856333
26,1,1,589.6388889,603.3076923,623,602.3589744,0.9,0.975,0.95,0.975,655.154321,618.7771203,655.7894737,617.8040763
27,1,1,599.7272727,612.5675676,609.6857143,631.5,0.85,0.925,0.875,0.85,705.5614973,662.2352082,696.7836735,742.9411765
28,1,1,682.1212121,686.75,688.2413793,710.5625,0.825,0.925,0.725,0.8,826.8135904,742.4324324,949.2984542,888.203125
29,1,1,579.525,596.0769231,595.1282051,612.2972973,1,0.975,0.975,0.925,579.525,611.3609467,610.3879027,661.9430241
30,1,1,610.8947368,606.2368421,571.2307692,572.2894737,0.95,0.95,0.975,0.95,643.0470914,638.1440443,585.877712,602.4099723
31,1,2,579.4102564,677.0789474,581.85,612.55,1,0.95,1,1,579.4102564,712.7146814,581.85,612.55
32,1,2,723.3714286,744.0294118,714.8333333,731.4594595,0.875,0.85,0.925,0.925,826.7102041,875.3287197,772.7927928,790.7669832
33,1,2,645.7058824,665.027027,615.6785714,645.8888889,0.85,0.925,0.7,0.675,759.6539792,718.9481373,879.5408163,956.872428
34,1,2,643.8974359,652.925,621.6,616.7692308,0.975,1,1,0.975,660.4076266,652.925,621.6,632.5838264
35,1,2,671.2051282,718.1842105,689.7435897,732.3157895,0.975,0.95,0.975,0.95,688.4155161,755.9833795,707.4293228,770.8587258
36,1,2,674.2162162,661.25,686.4242424,707.3030303,0.925,0.9,0.825,0.825,728.8823959,734.7222222,832.0293848,857.3370064
37,1,2,924.4444444,931.35,925.7391304,915.9565217,0.45,0.5,0.575,0.6,2054.320988,1862.7,1609.981096,1526.594203
38,1,2,693.7027027,740.6842105,681.8181818,723.9411765,0.925,0.95,0.825,0.85,749.9488678,779.66759,826.446281,851.6955017
39,1,2,930.2962963,914.9565217,930.7419355,954.24,0.675,0.575,0.8,0.625,1378.216735,1591.228733,1163.427419,1526.784
40,1,2,624.9655172,683.2727273,619.9142857,650.8461538,0.725,0.55,0.875,0.975,862.0214031,1242.31405,708.4734694,667.5345168
