version,subjID,gender,age,BlockVary,ItemVary,FrequencyPredict_1,FrequencyPredict_2,FrequencyPredict_3,FrequencyPredict_4,FrequencyPredict_5,SCForcedChoice_bear,SCForcedChoice_turtle,SCForcedChoice_bird,SCForcedChoice_deer,SCForcedChoice_dog,SCForcedChoice_cat,SCForcedChoice,SCForcedChoice_LWPC,SCForcedChoice_bias
3,1,Female,24,0,1,10,31,31,15,94,1,1,1,0,1,1,5,1,4
3,2,Female,29,1,1,25,32,49,46,33,1,1,1,0,1,0,4,1,3
3,3,Female,33,0,0,50,50,50,0,0,0,0,1,0,1,1,3,0,3
3,4,Male,25,1,1,50,0,0,23,0,0,0,0,1,0,1,2,0,2
3,5,Female,43,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,Female,28,1,1,9,30,49,88,37,0,1,0,1,1,1,4,2,2
3,7,Female,38,0,0,54,5,40,60,4,1,0,1,1,0,0,3,1,2
3,8,Male,43,0,0,50,50,50,50,50,0,0,1,0,1,1,3,1,2
3,9,Male,32,1,1,34,5,23,80,55,0,0,0,1,0,0,1,0,1
3,10,Male,65,0,0,77,52,60,100,51,0,0,0,1,1,0,2,0,2
3,11,Female,46,0,0,60,50,50,50,50,0,1,0,0,0,0,1,1,0
3,12,Male,30,0,0,9,23,28,28,36,1,1,0,0,0,0,2,2,0
3,13,Male,27,1,0,13,11,14,14,11,0,0,0,1,0,0,1,0,1
3,14,Female,28,1,1,0,0,0,0,50,0,1,0,1,0,0,2,2,0
3,15,Female,29,1,0,0,51,50,77,0,0,0,1,1,0,0,2,2,0
3,16,Male,33,1,1,7,8,81,8,9,0,0,0,0,1,1,2,0,2
3,17,Female,45,0,0,50,50,50,50,50,0,1,0,0,1,1,3,0,3
3,18,Male,32,0,0,85,5,0,0,0,0,0,0,0,1,0,1,1,0
3,19,Female,34,1,1,17,54,64,52,46,0,0,0,0,0,1,1,1,0
3,20,Female,41,0,0,0,60,55,65,0,0,0,1,1,0,0,2,2,0
3,21,Male,32,0,1,11,76,46,12,55,0,1,1,0,1,1,4,1,3
3,22,Male,47,0,0,50,50,0,0,50,0,0,0,0,0,0,0,0,0
3,23,Female,46,0,0,50,50,50,50,50,1,0,0,0,0,1,2,0,2
3,24,,,,,,,,,,,,,,,,,,
3,25,Male,33,0,0,25,25,25,25,25,0,0,1,0,1,0,2,0,2
3,26,Male,26,1,1,23,70,65,21,75,0,0,0,1,1,0,2,0,2
3,27,Female,28,0,1,79,96,80,94,100,1,1,0,0,0,0,2,0,2
3,28,Male,37,0,0,52,54,55,54,54,1,0,0,1,1,1,4,0,4
3,29,Male,29,0,0,100,0,0,0,0,0,0,1,0,1,0,2,2,0
