subjID,fb,blkorder,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,1,615.7252862,651.2620786,586.4915742,667.9286564,618.3,736.8209877,630.625,667.3241289
2,1,1,683.2,720.5281631,692.5884591,846.7692308,763.2326531,800.4244898,771.3959184,794.0244898
3,1,1,681.3061224,617.6268908,665.5822754,802.4615385,639.95,679.4156318,691.6975309,733.3564014
4,1,1,629.0114464,661.1247574,578.4005007,613.7955556,663.9883126,709.1975309,761.322314,941.1640212
5,1,1,689.4222222,723.548063,698.8979021,696.7408949,812.8191001,701.634349,737.4141709,754.4444444
6,1,1,591.0509886,611.5547489,585.4465428,679.2294887,847.2840791,747.5617284,733.4530612,738.9043097
7,1,1,782.3828775,855.3002737,672.5068493,717.6888889,936.024974,1327.291667,854.9877551,930.0390625
8,1,1,541.7689906,600.8919289,571.7823367,599.8085328,696.7036011,921.7741935,741.2710007,1045.221675
9,1,1,915.5029586,1855.031727,694.935934,711.908046,939.9816345,1506.6,913.3149679,849.3209877
10,1,1,578.955665,562.935151,549.0783432,643.755102,551.2820513,592.7246165,569.7506925,551.9568151
11,1,1,1299.92,1315.426087,829.917942,945.2781065,1326.863905,1590.826446,1150.977778,1197.517241
12,1,1,730.9866667,749.8209459,726.0693881,857.3727811,743.2870709,782.1512605,778.1904762,848.7510204
13,1,1,535.1425598,562.0332681,519.2780825,680.8042328,539.375,578.8823143,603.6288089,599.1321499
14,1,1,564.46875,632.5412406,708.2086168,742.2976,671.614317,801.796875,838.4444444,719.6493791
15,1,1,677.9022222,677.1064238,657.7694444,689.8454221,705.6756757,753.117284,857.2736733,1072.733333
16,1,2,834.8532236,802.8737943,839.8023419,816.4057971,811.6358025,851.5224913,1367.78828,1003.662851
17,1,2,644.90625,715.1632928,714.1153846,1060.155844,872.4701561,789.0690691,952.7991675,876.684492
18,1,2,886.7328,776.9268514,833.0367347,1073.196676,832.3265306,907.8876171,989.4276795,1456.961451
19,1,2,568.074922,586.8363052,561.7510443,525.5,648.7619048,604.3846154,569.6,681.6049383
20,1,2,609.8488889,651.2444071,797.2313364,1096.066482,835.9555556,788.671875,1345.6,1177.246377
21,1,2,768.3555556,845.4296526,866.6391673,1302.8,1026.305931,1195.91716,1107.348395,1294.528
22,1,2,671.5270936,639.4526984,585.395977,653.1529657,669.3209877,678.3053324,632.9639889,683.7516869
23,1,2,696.064,781.9624043,689.2930136,795.1872,1009.275362,1000.615385,797.5390625,990.8916324
24,1,2,795.8016,834.3756592,689.4907317,1310.138504,793.1092437,889.7337006,726.0774288,821.8122449
25,1,2,708.0713436,700.9375228,709.2812487,850.1301775,741.1080332,774.8571429,965.9259259,1047.278107
26,1,2,562.8137357,569.1064223,566.010084,597.1779396,647.2530864,691.2345679,671.9073084,627.6990504
27,1,2,576.3662851,591.3904939,585.8449681,649.8549346,634.6537396,683.7399562,666.3550037,654.8323471
28,1,2,747.3136095,640.1251043,876.1153153,1112.790123,780.9366391,816.7578125,790.5601469,754.1176471
29,1,2,642.8571429,631.9238095,585.0808805,606.2351717,660.6371191,778.292011,675.9386413,701.2188366
30,1,2,697.3793103,731.9418231,778.8059701,902.6745562,794.8788927,752.3447772,723.6523009,828.6851211
31,2,1,720.5306122,756.9559797,839.305314,788.7626886,926.8045977,915.5046826,882.1875,956.9560048
32,2,1,638.09375,664.8816568,641.1649955,741.9738407,672.8731098,698.330046,690.0197239,671.65
33,2,1,1080.163265,942.4743233,949.6105782,1385,1135.327635,1005.866667,1288.402778,1210.432
34,2,1,802.6112,695.3683102,668.8989368,675.0933333,773.3333333,774.4,730.4017531,857.7043159
35,2,1,718.8622222,700.3471178,735.2744508,775.4958383,652.5,714.1141141,758.9877551,737.6479182
36,2,1,771.6147444,895.1460571,787.5319521,973.3888889,1208.230453,1087.066667,820.617284,993.5483871
37,2,1,606.8345473,723.2631579,596.2998028,649.6646849,709.3209877,764.8788927,629.8027757,612.35
38,2,1,584.6436782,606.2445799,626.4678342,626.4542212,706.2204082,666.5079365,657.1219869,676.9753086
39,2,1,539.6378772,555.9318127,562.7643636,534.5,731.2654321,767.0588235,569.501385,618.3950617
40,2,1,512.34375,543.8706711,531.7531646,596.34375,628.7179487,611.425,641.3412229,678.3637692
41,2,1,923.7777778,1029.412039,890.375284,792.9795918,1167.04,1119.122085,1216.896,1081.173469
42,2,1,573.3125,588.6374897,576.7824391,686.6133333,618.3918129,642.156476,603.2686981,615.900277
43,2,1,633.7598098,717.0135328,586.2405053,636.7277051,779.7612489,702.8703704,624.225,788.7197232
44,2,1,687.1508845,643.6950943,656.7933675,630.6875,660.475,721.8618619,648.2577252,662.1959237
45,2,1,544.0665973,590.0576041,560.0941176,561.7741935,619.460881,656.8260568,727.03125,694.2283951
46,2,2,706.0166468,720.5824564,717.4485297,888.8832,832.5068871,824.9480969,806.7128028,873.7890625
47,2,2,763.3959572,741.8122449,713.8451855,732.7034339,882.2038567,791.0007305,705.15,802.0160701
48,2,2,666.7871581,700.1333333,632.9521472,609.4984391,630.0591716,630.1,701.9159664,665.3462604
49,2,2,624.9490114,640.2357724,671.5869191,656.2844444,656.625,794.8442907,687.575,733.5493827
50,2,2,579.78125,573.7914598,583.8091313,609.7315297,685.512605,633.2412886,761.8145161,661.5123457
51,2,2,640.53125,627.105404,614.41874,643.0967742,639.9211045,668.0078895,675.3714661,660.9598948
52,2,2,822.295858,728.8773289,754.4117284,1269.75,786.9387755,834.4536272,897.1921182,1107.648
53,2,2,656.6044444,792.6821705,727.9777725,800.6153846,892.7942925,854.84375,731.0737765,1031.581633
54,2,2,733.0844444,852.4545406,788.9104008,885.1666667,1073.436214,933.0780437,1153.088,1193.263889
55,2,2,730.5969084,847.5384615,742.3969726,1087.056689,848.219697,867.2653061,1757.025,2268.979592
56,2,2,664.4489796,613.8274209,637.1682592,772.6390533,723.2268908,717.6454294,739.3131488,802.0069204
57,2,2,778.8061831,730.5853619,726.8506166,834.244898,870.5306122,835.8412698,891.0560147,830.4012346
58,2,2,662.4875149,627.7280859,650.1688246,669.8064516,760.523416,692.5146199,701.6,696.15
59,2,2,900.0533333,679.3717627,753.2715588,952.3966942,808.1314879,848.6631016,891.7954816,1138.888889
60,2,2,514.3466667,466.2356322,519.7732333,589.0863684,601.8732782,514.675,553.6842105,653.6678201
