subjID,fb,blkorder,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
1,1,1,583.1592357,605.3103448,596.483871,617.9589041,630.625,650.6410256,618.3,663.1388889
2,1,1,653.2368421,688,640.5,609.9925926,674.9714286,694.7714286,667.8285714,700.3714286
3,1,1,627.7651007,652,596.1428571,596.5714286,622.5277778,623.3529412,639.95,628.4594595
4,1,1,568.5414013,575.4333333,609.3548387,627.3172414,628.0909091,658.8148148,614.1891892,638.2777778
5,1,1,655.2167832,674.9677419,646.3333333,665.9931034,682.1081081,679,670.5757576,666.5526316
6,1,1,572.1409396,615.5517241,572.5806452,604.6052632,641.7714286,683.4864865,656.6451613,672.8055556
7,1,1,641.9383562,672.8333333,709.0344828,704.6507937,748.1142857,744.03125,725.4193548,796.375
8,1,1,565.2848101,581.0645161,524.8387097,587.2352941,685.6756757,757.7857143,661.8684211,737.4193548
9,1,1,679.1419355,667.4137931,743.8461538,779.9565217,753.4848485,764.3888889,775.4848485,753.3
10,1,1,527.24,563.2857143,524.6785714,546.9426752,541.2631579,538.1578947,551.2820513,548.2702703
11,1,1,782.7635135,768.0384615,812.45,822.1413043,863.2333333,898.137931,862.4615385,874.9545455
12,1,1,668.3138686,696.6153846,685.3,681.6554054,700.3714286,742.6571429,687.5405405,684.3823529
13,1,1,510.4267516,595.7037037,518.4193548,536.4863014,573.4473684,584.1538462,539.375,564.4102564
14,1,1,591.5151515,579.92,564.46875,585.8194444,628.8333333,665.6756757,621.2432432,641.4375
15,1,1,597.9722222,625.1724138,635.5333333,646.3288591,664.3870968,670.4583333,652.75,677.8055556
16,1,2,668.0245902,612.3043478,704.4074074,670.5820896,786.4782609,777.8387097,730.4722222,723.7941176
17,1,2,649.1958042,728.8571429,644.90625,633.8947368,738.4193548,745.1818182,719.7878788,729.8888889
18,1,2,662.6428571,637.2105263,692.76,684.2253521,766.8064516,764.9047619,728.2857143,703.6129032
19,1,2,545.7922078,525.5,550.3225806,553.4933333,569.6,613.4444444,583.8857143,604.3846154
20,1,2,634.1612903,650.7894737,571.7333333,606.8413793,672.8,706.3478261,626.9666667,630.9375
21,1,2,753.3851852,814.25,720.3333333,734.9473684,802.8275862,809.08,795.3870968,777.3461538
22,1,2,578.74375,632.7419355,608.5714286,610.3866667,601.3157895,666.6578947,602.3888889,627.4324324
23,1,2,603.1313869,621.24,543.8,617.5725806,638.03125,668.8518519,605.5652174,650.4
24,1,2,642.48,777.8947368,621.72,687.4117647,671.6216216,719.0857143,693.9705882,734.030303
25,1,2,656.8911565,690.7307692,641.6896552,641.1985294,652,680.7307692,704.0526316,678
26,1,2,546.7142857,578.516129,545.2258065,556.1721854,571.1212121,580.6216216,582.5277778,622.1111111
27,1,2,575.8589744,588.9310345,558.3548387,567.869281,616.3783784,638.4615385,602.9210526,632.4594595
28,1,2,597.3513514,625.9444444,607.1923077,571.0206897,652.2121212,641,644.2727273,653.40625
29,1,2,555.1619718,587.2903226,562.5,574.4761905,625.2432432,666.1578947,627.6052632,642.0909091
30,1,2,681.4552239,733.4230769,632,673.7191781,669.3783784,704.3823529,675.6470588,695.9189189
31,2,1,658.0916667,665.5185185,630.4642857,649.4338235,705.75,693.7931034,695.1034483,709.516129
32,2,1,637.5220126,672.4137931,638.09375,638.4375,672.7692308,671.65,656.0512821,680.8717949
