subj,fbgrp,blockorder,MC.C,MC.IC,MIC.C,MIC.IC,MC.C_acc,MC.IC_acc,MIC.C_acc,MIC.IC_acc,MC.C_IE,MC.IC_IE,MIC.C_IE,MIC.IC_IE,Experiment
1,1,1,583.1592357,605.3103448,596.483871,617.9589041,0.994318182,0.90625,0.96875,0.948863636,586.4915742,667.9286564,615.7252862,651.2620786,0
2,1,1,653.2368421,688,640.5,609.9925926,0.943181818,0.8125,0.9375,0.846590909,692.5884591,846.7692308,683.2,720.5281631,0
3,1,1,627.7651007,652,596.1428571,596.5714286,0.943181818,0.8125,0.875,0.965909091,665.5822754,802.4615385,681.3061224,617.6268908,0
4,1,1,568.5414013,575.4333333,609.3548387,627.3172414,0.982954545,0.9375,0.96875,0.948863636,578.4005007,613.7955556,629.0114464,661.1247574,0
5,1,1,655.2167832,674.9677419,646.3333333,665.9931034,0.9375,0.96875,0.9375,0.920454545,698.8979021,696.7408949,689.4222222,723.548063,0
6,1,1,572.1409396,615.5517241,572.5806452,604.6052632,0.977272727,0.90625,0.96875,0.988636364,585.4465428,679.2294887,591.0509886,611.5547489,0
7,1,1,641.9383562,672.8333333,709.0344828,704.6507937,0.954545455,0.9375,0.90625,0.823863636,672.5068493,717.6888889,782.3828775,855.3002737,0
8,1,1,565.2848101,581.0645161,524.8387097,587.2352941,0.988636364,0.96875,0.96875,0.977272727,571.7823367,599.8085328,541.7689906,600.8919289,0
9,1,1,679.1419355,667.4137931,743.8461538,779.9565217,0.977272727,0.9375,0.8125,0.420454545,694.935934,711.908046,915.5029586,1855.031727,0
10,1,1,527.24,563.2857143,524.6785714,546.9426752,0.960227273,0.875,0.90625,0.971590909,549.0783432,643.755102,578.955665,562.935151,0
11,1,1,782.7635135,768.0384615,812.45,822.1413043,0.943181818,0.8125,0.625,0.625,829.917942,945.2781065,1299.92,1315.426087,0
12,1,1,668.3138686,696.6153846,685.3,681.6554054,0.920454545,0.8125,0.9375,0.909090909,726.0693881,857.3727811,730.9866667,749.8209459,0
13,1,1,510.4267516,595.7037037,518.4193548,536.4863014,0.982954545,0.875,0.96875,0.954545455,519.2780825,680.8042328,535.1425598,562.0332681,0
14,1,1,591.5151515,579.92,564.46875,585.8194444,0.835227273,0.78125,1,0.926136364,708.2086168,742.2976,564.46875,632.5412406,0
15,1,1,597.9722222,625.1724138,635.5333333,646.3288591,0.909090909,0.90625,0.9375,0.954545455,657.7694444,689.8454221,677.9022222,677.1064238,0
16,1,2,668.0245902,612.3043478,704.4074074,670.5820896,0.795454545,0.75,0.84375,0.835227273,839.8023419,816.4057971,834.8532236,802.8737943,0
17,1,2,649.1958042,728.8571429,644.90625,633.8947368,0.909090909,0.6875,1,0.886363636,714.1153846,1060.155844,644.90625,715.1632928,0
18,1,2,662.6428571,637.2105263,692.76,684.2253521,0.795454545,0.59375,0.78125,0.880681818,833.0367347,1073.196676,886.7328,776.9268514,0
19,1,2,545.7922078,525.5,550.3225806,553.4933333,0.971590909,1,0.96875,0.943181818,561.7510443,525.5,568.074922,586.8363052,0
20,1,2,634.1612903,650.7894737,571.7333333,606.8413793,0.795454545,0.59375,0.9375,0.931818182,797.2313364,1096.066482,609.8488889,651.2444071,0
21,1,2,753.3851852,814.25,720.3333333,734.9473684,0.869318182,0.625,0.9375,0.869318182,866.6391673,1302.8,768.3555556,845.4296526,0
22,1,2,578.74375,632.7419355,608.5714286,610.3866667,0.988636364,0.96875,0.90625,0.954545455,585.395977,653.1529657,671.5270936,639.4526984,0
23,1,2,603.1313869,621.24,543.8,617.5725806,0.875,0.78125,0.78125,0.789772727,689.2930136,795.1872,696.064,781.9624043,0
24,1,2,642.48,777.8947368,621.72,687.4117647,0.931818182,0.59375,0.78125,0.823863636,689.4907317,1310.138504,795.8016,834.3756592,0
25,1,2,656.8911565,690.7307692,641.6896552,641.1985294,0.926136364,0.8125,0.90625,0.914772727,709.2812487,850.1301775,708.0713436,700.9375228,0
26,1,2,546.7142857,578.516129,545.2258065,556.1721854,0.965909091,0.96875,0.96875,0.977272727,566.010084,597.1779396,562.8137357,569.1064223,0
27,1,2,575.8589744,588.9310345,558.3548387,567.869281,0.982954545,0.90625,0.96875,0.960227273,585.8449681,649.8549346,576.3662851,591.3904939,0
28,1,2,597.3513514,625.9444444,607.1923077,571.0206897,0.681818182,0.5625,0.8125,0.892045455,876.1153153,1112.790123,747.3136095,640.1251043,0
29,1,2,555.1619718,587.2903226,562.5,574.4761905,0.948863636,0.96875,0.875,0.909090909,585.0808805,606.2351717,642.8571429,631.9238095,0
30,1,2,681.4552239,733.4230769,632,673.7191781,0.875,0.8125,0.90625,0.920454545,778.8059701,902.6745562,697.3793103,731.9418231,0
31,1,1,616.7718121,689.7407407,624.34375,657.4814815,0.965909091,0.84375,1,0.875,638.540229,817.4705075,624.34375,751.4074074,1
32,1,1,637.1515152,746.75,657.25,672.5,0.818181818,0.375,0.875,0.818181818,778.7407407,1991.333333,751.1428571,821.9444444,1
33,1,1,620.6122449,619.7419355,606,602.6423841,0.920454545,0.96875,0.96875,0.954545455,674.2454019,639.7336108,625.5483871,631.3396405,1
34,1,1,535.6666667,530.7666667,546.5806452,558.2013889,0.948863636,0.9375,0.96875,0.948863636,564.5349301,566.1511111,564.2122789,588.2840985,1
35,1,1,557.261745,595.0645161,537.1666667,563.7748344,0.960227273,0.96875,0.96875,0.977272727,580.3435924,614.2601457,554.4946237,576.8858771,1
36,1,1,600.7300613,639.516129,662.3666667,671.6923077,0.977272727,0.96875,0.9375,0.909090909,614.7005279,660.1456816,706.5244444,738.8615385,1
37,1,1,624.1960784,616.3333333,694.7419355,728.972973,0.988636364,0.9375,0.96875,0.943181818,631.370746,657.4222222,717.1529657,772.8870075,1
38,1,1,536.4630872,506.9333333,591.7096774,581.414966,0.977272727,0.9375,0.96875,0.9375,548.938973,540.7288889,610.7970864,620.1759637,1
39,1,1,499.8910256,548.8125,578.4375,582.218543,0.994318182,1,1,0.960227273,502.7475458,548.8125,578.4375,606.334104,1
40,1,1,609.4328358,728.7419355,661.3703704,667.7878788,0.9375,0.96875,0.84375,0.863636364,650.0616915,752.2497399,783.8463649,773.2280702,1
41,1,1,483.4466667,525.483871,528.2580645,573.2866242,0.994318182,0.96875,0.96875,0.994318182,486.209219,542.4349636,545.2986472,576.5625478,1
42,1,1,553.8857143,580.36,559.9032258,546.6923077,0.886363636,0.78125,0.96875,0.954545455,624.8967033,742.8608,577.9646202,572.7252747,1
43,1,1,631.147651,672.8333333,656.03125,637.7062937,0.960227273,0.9375,1,0.948863636,657.2898614,717.6888889,656.03125,672.0736988,1
44,1,1,594.7552448,593.4,577.8064516,599.5197368,0.914772727,0.78125,0.96875,0.943181818,650.1672241,759.552,596.4453694,635.6353836,1
45,1,1,514.5347222,573.8214286,597.8125,587.2727273,0.931818182,0.90625,1,0.943181818,552.1836043,633.182266,597.8125,622.6506024,1
46,1,1,593.2857143,639.3333333,655.3870968,627.8653846,0.982954545,0.9375,0.96875,0.642045455,603.5739059,681.9555556,676.528616,977.9142274,1
47,1,1,524.2896552,605.4074074,594.34375,632.0860927,0.971590909,0.84375,1,0.960227273,539.619762,717.5198903,594.34375,658.2671735,1
48,1,1,556.88125,601.0645161,555.1875,576.283871,0.988636364,0.96875,1,0.977272727,563.2821839,620.4536941,555.1875,589.6858215,1
49,1,1,690.4353741,675.6551724,675.0714286,695.3378378,0.926136364,0.90625,0.875,0.926136364,745.5007721,745.5505351,771.5102041,750.7942298,1
50,1,1,529.716129,656.9285714,531.9354839,569.3607595,0.971590909,0.875,0.96875,0.960227273,545.2049047,750.7755102,549.094693,592.9437495,1
51,1,1,708.6567164,737.6666667,748.962963,720.025641,0.840909091,0.75,0.875,0.772727273,842.726906,983.5555556,855.957672,931.7978884,1
52,1,1,532.2727273,551.3793103,512.3225806,547.2176871,0.954545455,0.90625,0.96875,0.965909091,557.6190476,608.4185493,528.8491155,566.5312525,1
53,1,1,564.6382979,559.9,561.2333333,578.1677852,0.914772727,0.9375,0.9375,0.960227273,617.2443505,597.2266667,598.6488889,602.1155633,1
54,1,1,610.7677419,666.5666667,709.0333333,692.224359,0.994318182,0.9375,0.96875,0.994318182,614.2578433,711.0044444,731.9053763,696.1799267,1
55,1,1,561.5350318,550.1,648.2580645,609.8690476,0.988636364,0.9375,0.96875,0.505681818,567.9894575,586.7733333,669.169615,1206.033173,1
56,1,1,589.0821918,596.5517241,598.3225806,607.8819444,0.954545455,0.90625,0.96875,0.943181818,617.1337247,658.2639715,617.6233091,644.5013387,1
57,1,1,575.4066667,579.9642857,586.1481481,580.1764706,0.960227273,0.875,0.84375,0.875,599.2400789,662.8163265,694.6941015,663.0588235,1
58,1,1,610.0699301,607.7741935,618.0909091,643.6544118,0.909090909,0.96875,0.71875,0.863636364,671.0769231,627.3798127,859.9525692,745.2840557,1
59,1,1,536.6878981,549.3225806,539.5625,571.1180556,0.994318182,0.96875,1,0.977272727,539.7546861,567.0426639,539.5625,584.3998708,1
60,1,1,530.0063694,605.7096774,583.1724138,572.2080537,0.982954545,1,0.90625,0.931818182,539.1972313,605.7096774,643.5005945,614.0769357,1
61,1,2,608.974359,675.8214286,585.3225806,641.7218543,0.971590909,0.875,1,0.977272727,626.7806268,772.3673469,585.3225806,656.6456184,1
62,1,2,617.1398601,617.9677419,645.96875,650.3172414,0.954545455,0.96875,1,0.948863636,646.5274725,637.9021852,645.96875,685.3642783,1
63,1,2,565.5870968,635.6666667,524.3846154,576.7925926,0.971590909,0.84375,0.8125,0.846590909,582.1247312,753.382716,645.3964497,681.3120557,1
64,1,2,649.3589744,645.21875,599.5,602.1780822,0.988636364,1,1,0.977272727,656.8228706,645.21875,599.5,616.1822236,1
65,1,2,579.013245,595.875,623.3125,650.8,0.994318182,1,1,0.971590909,582.3218921,595.875,623.3125,669.8292398,1
66,1,2,656.4054054,666.1153846,652.5555556,681.480315,0.926136364,0.8125,0.84375,0.789772727,708.7567568,819.8343195,773.399177,862.8815499,1
67,1,2,885.6,873.2962963,875.0384615,871.4920635,0.875,0.84375,0.8125,0.806818182,1012.114286,1035.017833,1076.970414,1080.159177,1
68,1,2,616.1655172,677.4,626.2068966,625.5957447,0.954545455,0.8125,0.9375,0.892045455,645.5067323,833.7230769,667.954023,701.3047838,1
69,1,2,899.5804196,916.7391304,910.52,922.7007874,0.892045455,0.71875,0.78125,0.806818182,1008.44684,1275.463138,1165.4656,1143.629145,1
70,1,2,594.1186441,593.5333333,591.516129,620.6736111,0.744318182,0.46875,0.96875,0.914772727,798.2052012,1266.204444,610.5972945,678.5003451,1
71,1,2,576.5106383,631.5714286,537.2258065,560.2152778,0.920454545,0.875,0.96875,0.9375,626.3325453,721.7959184,554.5556712,597.562963,1
72,1,2,515.2893082,574.1071429,522.90625,535.787234,0.971590909,0.875,1,0.954545455,530.356247,656.122449,522.90625,561.3009119,1
73,1,2,882.9685039,881.96,892,888.5294118,0.829545455,0.78125,0.65625,0.8125,1064.400388,1128.9088,1359.238095,1093.574661,1
74,1,2,592.5743243,560.9032258,544.40625,577.2253521,0.954545455,0.96875,1,0.914772727,620.7921493,578.9968783,544.40625,631.0041116,1
75,1,2,614.6875,612.0344828,602.1935484,618.8543046,0.920454545,0.90625,0.96875,0.965909091,667.808642,675.3483948,621.6191467,640.6962213,1
76,1,2,696.9710145,766.25,699.4285714,695.6186441,0.886363636,0.75,0.65625,0.772727273,786.3262728,1021.666667,1065.795918,900.2123629,1
