version,subjID,gender,age,BlockVary,ItemVary,FrequencyPredict_1,FrequencyPredict_2,FrequencyPredict_3,FrequencyPredict_4,FrequencyPredict_5,SCForcedChoice_bear,SCForcedChoice_turtle,SCForcedChoice_bird,SCForcedChoice_deer,SCForcedChoice_dog,SCForcedChoice_cat,SCForcedChoice,SCForcedChoice_LWPC,SCForcedChoice_bias,Experiment
3,1,Female,34,0,0,50,51,51,51,52,1,0,0,0,0,0,1,0,1,0
3,2,Male,35,0,0,20,27,51,7,9,0,0,0,0,0,0,0,0,0,0
3,3,Male,23,1,0,15,15,45,16,71,0,0,0,1,0,1,2,1,1,0
3,4,Male,28,1,0,48,57,41,57,71,0,0,1,1,0,0,2,1,1,0
3,5,Male,28,0,0,70,81,68,64,73,0,0,0,1,1,0,2,0,2,0
3,6,Male,39,0,0,5,5,10,25,65,0,0,0,1,1,0,2,2,0,0
3,7,Male,28,1,1,50,59,38,66,31,1,1,0,0,0,0,2,0,2,0
3,8,Male,65,1,1,0,50,0,0,0,1,1,1,0,1,1,5,1,4,0
3,9,Female,30,1,1,76,63,50,58,91,0,0,0,0,1,1,2,0,2,0
3,10,Male,38,0,0,72,41,77,43,19,0,1,0,1,1,1,4,0,4,0
3,11,Male,28,0,0,64,77,64,72,82,0,0,0,0,0,1,1,0,1,0
3,12,Male,57,0,0,51,51,52,51,51,0,1,0,0,0,0,1,0,1,0
3,13,Female,47,0,0,0,0,0,50,0,1,0,0,0,1,0,2,1,1,0
3,14,Male,27,0,0,56,1,0,0,0,1,1,0,0,1,1,4,2,2,0
3,15,Male,29,0,0,93,79,87,85,94,0,0,1,0,0,1,2,1,1,0
4,16,Male,28,1,1,75,67,87,52,49,0,0,0,0,0,1,1,0,1,0
4,17,Male,30,0,0,50,51,50,50,50,0,1,0,1,1,1,4,2,2,0
4,18,Female,29,1,0,73,62,77,70,84,0,1,0,1,1,1,4,2,2,0
4,19,Male,43,0,0,65,0,15,10,0,0,0,0,0,0,0,0,0,0,0
4,20,Male,24,1,1,27,46,48,34,26,0,1,1,1,0,1,4,2,2,0
4,21,Female,25,0,0,62,41,61,6,97,0,1,1,0,0,0,2,0,2,0
4,22,Female,46,0,0,0,75,9,0,1,0,0,0,0,1,1,2,1,1,0
4,23,Female,28,1,0,78,78,68,91,79,1,0,0,0,1,1,3,0,3,0
4,24,Female,28,1,1,45,75,63,90,36,0,0,1,0,0,0,1,0,1,0
4,25,Male,49,1,1,0,75,0,0,75,0,0,1,1,1,1,4,1,3,0
4,26,Female,48,0,0,52,58,43,50,73,0,0,0,1,0,1,2,0,2,0
4,27,Female,40,0,0,85,23,8,0,0,1,1,0,0,0,0,2,0,2,0
4,28,Male,25,1,1,65,69,58,78,49,1,0,0,0,1,1,3,0,3,0
4,29,Male,32,1,1,0,15,0,82,15,0,0,0,1,0,0,1,0,1,0
4,30,Male,26,0,1,50,51,52,52,52,0,1,0,0,1,0,2,0,2,0
3,31,Female,24,0,1,10,31,31,15,94,1,1,1,0,1,1,5,1,4,1
3,32,Female,29,1,1,25,32,49,46,33,1,1,1,0,1,0,4,1,3,1
3,33,Female,33,0,0,50,50,50,0,0,0,0,1,0,1,1,3,0,3,1
3,34,Male,25,1,1,50,0,0,23,0,0,0,0,1,0,1,2,0,2,1
3,35,Female,43,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,36,Female,28,1,1,9,30,49,88,37,0,1,0,1,1,1,4,2,2,1
3,37,Female,38,0,0,54,5,40,60,4,1,0,1,1,0,0,3,1,2,1
3,38,Male,43,0,0,50,50,50,50,50,0,0,1,0,1,1,3,1,2,1
3,39,Male,32,1,1,34,5,23,80,55,0,0,0,1,0,0,1,0,1,1
3,40,Male,65,0,0,77,52,60,100,51,0,0,0,1,1,0,2,0,2,1
3,41,Female,46,0,0,60,50,50,50,50,0,1,0,0,0,0,1,1,0,1
3,42,Male,30,0,0,9,23,28,28,36,1,1,0,0,0,0,2,2,0,1
3,43,Male,27,1,0,13,11,14,14,11,0,0,0,1,0,0,1,0,1,1
3,44,Female,28,1,1,0,0,0,0,50,0,1,0,1,0,0,2,2,0,1
3,45,Female,29,1,0,0,51,50,77,0,0,0,1,1,0,0,2,2,0,1
3,46,Male,33,1,1,7,8,81,8,9,0,0,0,0,1,1,2,0,2,1
3,47,Female,45,0,0,50,50,50,50,50,0,1,0,0,1,1,3,0,3,1
3,48,Male,32,0,0,85,5,0,0,0,0,0,0,0,1,0,1,1,0,1
3,49,Female,34,1,1,17,54,64,52,46,0,0,0,0,0,1,1,1,0,1
3,50,Female,41,0,0,0,60,55,65,0,0,0,1,1,0,0,2,2,0,1
3,51,Male,32,0,1,11,76,46,12,55,0,1,1,0,1,1,4,1,3,1
3,52,Male,47,0,0,50,50,0,0,50,0,0,0,0,0,0,0,0,0,1
